user_id,age,employment_type,monthly_income,credit_score,purchase_amount,product_category,bnpl_installments,repayment_delay_days,missed_payments,default_flag,app_usage_frequency,location,transaction_date,debt_to_income_ratio,risk_score,customer_segment
86,55,Self-Employed,40165.08,505,5000.0,Beauty,9,10,1,0,6.4,Germany,2023-02-27,0.124486245265788,178.0,High Risk
87,28,Unemployed,11701.83,430,3470.87,Fashion,12,3,0,0,1.65,Germany,2024-08-18,0.296609162840342,174.0,High Risk
88,50,Salaried,79352.24,637,5000.0,Fashion,9,12,1,0,1.28,Germany,2024-07-12,0.0630101935370696,129.2,Medium Risk
89,26,Salaried,60473.35,545,5000.0,Beauty,3,13,2,1,2.48,UK,2023-03-17,0.0826810487594948,188.0,High Risk
90,28,Unemployed,12601.13,397,5000.0,Home,3,10,1,1,6.93,Germany,2023-05-28,0.3967898117073627,221.2,High Risk
91,35,Unemployed,5000.0,300,1222.37,Fashion,6,10,1,1,7.68,USA,2023-06-11,0.2444739999999999,260.0,High Risk
92,21,Student,11731.14,339,3373.55,Fashion,9,10,1,1,9.11,India,2024-07-12,0.2875722223074655,244.4,High Risk
93,56,Salaried,86577.73,717,5000.0,Home,9,9,1,0,4.72,India,2023-02-18,0.05775157191116,91.2,Low Risk
94,31,Salaried,53528.0,517,5000.0,Sports,12,19,2,1,4.57,Germany,2023-06-01,0.0934090569421611,211.2,High Risk
95,48,Self-Employed,60149.84,615,5000.0,Electronics,3,10,1,0,4.21,Canada,2024-09-08,0.0831257406503492,134.0,Medium Risk
96,54,Salaried,77465.38,652,5000.0,Fashion,3,9,1,0,2.1,India,2024-09-14,0.0645449618913635,117.2,Medium Risk
97,54,Self-Employed,49402.26,574,5000.0,Fashion,12,3,0,0,5.79,Germany,2024-10-31,0.101209944646257,116.4,Medium Risk
98,33,Salaried,51808.85,516,5000.0,Sports,9,5,1,1,7.15,USA,2024-12-07,0.0965086080852981,163.6,High Risk
99,35,Salaried,43266.19,393,5000.0,Sports,6,12,3,1,6.44,India,2023-01-27,0.1155636768571487,266.8,High Risk
100,26,Unemployed,8661.97,300,3624.9,Sports,6,14,3,1,5.9,Canada,2023-01-01,0.4184844787040362,308.0,High Risk
101,38,Student,9518.62,300,966.49,Home,6,20,1,1,5.5,USA,2023-01-05,0.1015367773899998,280.0,High Risk
102,43,Student,24058.9,344,5000.0,Fashion,12,14,2,0,6.83,UK,2024-11-27,0.2078233003171383,270.4,High Risk
103,32,Unemployed,9749.63,300,1310.95,Fashion,12,12,1,0,7.46,Australia,2023-03-29,0.1344615128984382,264.0,High Risk
104,30,Student,21960.01,380,5000.0,Beauty,6,2,0,0,2.67,UK,2023-02-23,0.2276865994141168,192.0,High Risk
105,37,Salaried,41315.55,448,5000.0,Electronics,6,10,2,1,4.25,Germany,2024-10-12,0.1210198097326551,220.8,High Risk
106,25,Salaried,72644.94,541,5000.0,Electronics,3,18,3,1,2.51,Canada,2024-12-13,0.0688279183656838,219.6,High Risk
107,51,Self-Employed,49493.28,564,5000.0,Sports,3,3,0,0,9.89,UK,2023-06-13,0.1010238157584221,120.4,Medium Risk
108,24,Self-Employed,65487.81,550,5000.0,Home,9,11,2,0,7.95,India,2023-02-23,0.0763500871383544,182.0,High Risk
109,57,Self-Employed,41925.01,478,5000.0,Home,12,2,0,0,5.86,UK,2024-08-13,0.1192605559306962,152.8,High Risk
110,25,Self-Employed,36547.93,355,5000.0,Beauty,12,24,3,0,1.8,Canada,2023-05-02,0.13680665361896,306.0,High Risk
111,46,Student,12055.85,369,1420.4,Sports,3,9,1,0,7.63,Australia,2024-07-26,0.117818320566364,230.4,High Risk
112,18,Salaried,47884.03,516,5000.0,Sports,6,14,1,1,2.06,UK,2024-10-31,0.1044189471938765,181.6,High Risk
113,19,Salaried,35630.3,461,5000.0,Fashion,12,20,1,1,9.38,UK,2023-02-17,0.1403300000280659,215.6,High Risk
114,55,Salaried,80993.45,722,5000.0,Electronics,6,0,0,0,3.01,Australia,2024-09-06,0.0617333870825356,51.2,Low Risk
115,37,Self-Employed,112584.25,832,5000.0,Home,3,2,0,0,4.31,UK,2023-03-06,0.0444111854011551,11.2,Low Risk
116,32,Self-Employed,58590.02,607,100.0,Home,6,2,0,0,1.0,USA,2023-02-16,0.0017067753177076,101.2,Medium Risk
117,19,Student,7117.19,300,1696.46,Sports,12,10,1,0,7.22,Germany,2024-12-24,0.2383609261520347,260.0,High Risk
118,21,Student,8026.35,319,3552.31,Electronics,3,2,0,1,8.98,India,2023-01-28,0.4425809988350869,216.4,High Risk
119,52,Unemployed,5000.0,300,100.0,Home,3,9,1,0,3.91,India,2024-08-01,0.02,258.0,Medium Risk
120,38,Salaried,43472.65,448,5000.0,Home,9,14,1,1,4.38,USA,2023-02-17,0.1150148426654459,208.8,High Risk
121,38,Student,16457.25,369,5000.0,Fashion,3,0,1,0,6.53,Australia,2023-04-22,0.3038174664661471,212.4,High Risk
122,41,Unemployed,11855.45,366,3574.46,Sports,9,9,1,0,3.67,Australia,2024-11-12,0.3015035279133225,231.6,High Risk
123,32,Unemployed,5000.0,301,1391.45,Sports,12,3,0,1,6.62,India,2023-02-10,0.27829,225.6,High Risk
124,53,Salaried,70012.14,715,5000.0,Electronics,12,5,0,0,6.55,Australia,2024-08-17,0.0714161858214875,64.0,Low Risk
125,28,Self-Employed,17409.74,366,4788.42,Sports,3,11,1,0,3.57,India,2023-02-27,0.275042591101303,235.6,High Risk
126,47,Student,30257.91,409,5000.0,Sports,6,9,3,1,5.86,Canada,2024-07-05,0.1652460464057167,254.4,High Risk
127,35,Self-Employed,59205.22,640,5000.0,Beauty,9,3,0,0,7.2,USA,2023-06-09,0.0844520128461645,90.0,Medium Risk
128,42,Salaried,68605.62,642,5000.0,Home,9,0,0,0,3.8,UK,2023-06-02,0.072880326713759,83.2,Medium Risk
129,56,Salaried,72358.19,595,5000.0,Home,9,19,3,1,9.97,USA,2024-11-19,0.0691006781678756,200.0,Medium Risk
130,21,Self-Employed,18216.11,404,5000.0,Electronics,9,9,1,0,8.87,UK,2024-08-22,0.2744823126342561,216.4,High Risk
131,31,Unemployed,11213.78,431,2794.15,Sports,9,1,0,0,1.69,Australia,2024-10-30,0.2491711091175321,169.60000000000002,High Risk
132,29,Self-Employed,61768.14,623,5000.0,Fashion,12,2,1,0,1.56,USA,2024-07-23,0.080947880250239,114.8,Medium Risk
133,28,Self-Employed,38365.94,487,5000.0,Beauty,9,13,1,0,1.22,India,2024-07-20,0.1303239279423363,191.2,High Risk
134,23,Self-Employed,56461.5,546,5000.0,Home,6,18,1,1,6.68,Germany,2024-11-25,0.0885559186348219,177.60000000000002,High Risk
135,56,Self-Employed,91510.97,784,5000.0,Home,3,1,0,0,7.99,USA,2023-02-15,0.0546382581235889,28.4,Low Risk
136,26,Salaried,49789.71,485,5000.0,Beauty,9,12,1,0,4.54,India,2024-10-28,0.1004223563463213,190.0,High Risk
137,31,Unemployed,5000.0,300,1263.55,Fashion,9,11,2,0,7.15,USA,2023-06-15,0.25271,282.0,High Risk
138,34,Unemployed,14048.27,383,3715.82,Home,6,17,1,0,8.65,UK,2023-01-24,0.2645037431655285,240.8,High Risk
139,27,Self-Employed,101149.91,847,5000.0,Fashion,12,0,0,0,4.06,India,2023-06-27,0.0494315813034336,1.2000000000000002,Low Risk
140,37,Self-Employed,67152.49,610,5000.0,Beauty,6,2,0,0,1.59,UK,2024-07-20,0.0744574028453747,100.0,Medium Risk
141,20,Student,10791.71,300,909.29,Electronics,3,18,2,1,3.81,UK,2023-02-12,0.08425819448447,296.0,High Risk
142,32,Student,11659.28,302,2912.3,Sports,3,9,1,0,7.59,Germany,2024-10-06,0.2497838631545001,257.20000000000005,High Risk
143,54,Student,30375.15,330,5000.0,Electronics,9,15,3,0,7.18,India,2024-11-20,0.1646082406177418,298.0,High Risk
144,50,Student,23914.38,412,5000.0,Fashion,12,3,0,0,5.45,Canada,2024-11-20,0.2090792234630377,181.2,High Risk
145,29,Student,10003.49,333,2384.77,Electronics,3,0,0,1,4.92,India,2024-11-01,0.2383938005636033,206.8,High Risk
146,34,Unemployed,9587.91,352,1180.69,Home,12,4,0,1,7.14,Australia,2024-09-11,0.1231436256702451,207.2,High Risk
147,37,Student,17933.47,329,3556.89,Beauty,9,14,1,1,8.27,Canada,2024-07-22,0.1983380795796909,256.4,High Risk
148,30,Salaried,61198.4,541,5000.0,Beauty,9,10,1,0,2.0,Canada,2023-01-06,0.0817014823916965,163.60000000000002,High Risk
149,42,Self-Employed,93234.03,693,5000.0,Home,3,12,3,0,5.87,India,2023-06-18,0.0536284873666836,146.8,Medium Risk
150,26,Unemployed,9922.32,301,4539.63,Electronics,12,0,0,0,8.9,Canada,2023-03-29,0.4575169919938079,219.6,High Risk
151,58,Self-Employed,74753.05,624,5000.0,Home,12,2,0,0,8.48,Germany,2024-10-10,0.0668869029424217,94.4,Medium Risk
152,50,Salaried,90764.9,750,5000.0,Home,6,1,0,0,6.33,Canada,2024-10-25,0.0550873740840346,42.0,Low Risk
153,21,Student,7659.79,302,287.27,Electronics,3,16,1,0,5.25,Australia,2024-08-25,0.0375036391337099,271.20000000000005,High Risk
154,44,Student,16707.01,351,5000.0,Sports,6,4,1,0,1.45,UK,2024-11-15,0.2992755735466729,227.6,High Risk
155,37,Unemployed,6991.37,300,2801.45,Home,9,13,1,0,8.92,Germany,2024-09-29,0.4007011501322344,266.0,High Risk
156,58,Student,13488.18,300,1622.26,Sports,12,19,2,1,8.39,USA,2023-03-23,0.1202727128493243,298.0,High Risk
157,42,Self-Employed,93524.14,742,100.0,Beauty,12,0,0,0,9.1,Australia,2023-05-03,0.0010692426575641,43.2,Low Risk
158,32,Unemployed,7894.82,319,2011.69,Fashion,3,12,2,1,9.12,Canada,2024-10-16,0.254811382653436,276.4,High Risk
159,20,Student,6496.96,412,1475.8,Beauty,3,0,0,1,1.61,Canada,2023-06-27,0.2271523912722257,175.20000000000002,High Risk
160,35,Salaried,47479.17,511,5000.0,Home,3,1,1,0,4.88,UK,2023-04-05,0.1053093388111039,157.6,High Risk
161,28,Self-Employed,75591.33,640,5000.0,Beauty,12,7,1,0,4.41,Canada,2024-11-25,0.0661451518315658,118.0,Medium Risk
162,28,Student,12849.22,402,3803.87,Beauty,3,2,0,1,9.75,Germany,2023-04-21,0.2960389813545102,183.2,High Risk
163,20,Unemployed,8145.92,332,4397.15,Fashion,6,3,0,0,4.37,Canada,2023-02-24,0.5397978374450031,213.2,High Risk
164,40,Unemployed,10503.0,325,5000.0,Fashion,3,2,1,0,8.5,Australia,2023-02-17,0.4760544606302961,234.0,High Risk
165,51,Salaried,56973.41,586,5000.0,Home,9,3,0,0,2.35,Canada,2023-04-11,0.0877602376266402,111.6,Medium Risk
166,28,Student,5876.38,361,1595.61,Electronics,12,4,0,1,1.36,USA,2024-11-06,0.2715294109638927,203.6,High Risk
167,54,Student,8852.87,303,3027.84,Fashion,12,8,1,1,9.73,USA,2024-11-04,0.3420178992801204,254.8,High Risk
168,43,Self-Employed,78126.56,692,5000.0,Electronics,9,8,1,0,9.27,India,2024-08-01,0.0639987220735176,99.2,Medium Risk
169,34,Self-Employed,89838.39,754,5000.0,Beauty,6,11,1,0,2.99,Canada,2024-09-04,0.0556554942714356,80.4,Low Risk
170,49,Salaried,79431.79,706,5000.0,Beauty,9,20,1,1,9.98,Germany,2024-07-10,0.0629470895720718,117.6,Low Risk
171,43,Self-Employed,89175.8,769,5000.0,Beauty,6,4,0,0,1.94,Germany,2023-03-08,0.0560690232103328,40.4,Low Risk
172,26,Unemployed,6160.69,300,1186.63,Fashion,12,13,1,1,7.36,USA,2024-09-24,0.1926131650837812,266.0,High Risk
173,19,Salaried,24520.69,447,5000.0,Electronics,3,1,0,0,2.97,Germany,2024-07-05,0.2039094332174176,163.20000000000002,High Risk
174,38,Self-Employed,45965.85,487,5000.0,Fashion,6,20,2,1,3.18,Australia,2023-02-06,0.1087764068324636,225.2,High Risk
175,41,Unemployed,5000.0,300,2201.91,Electronics,3,0,0,0,1.42,Canada,2024-12-25,0.440382,220.0,Medium Risk
176,39,Self-Employed,76501.97,656,5000.0,Electronics,9,0,0,0,8.8,Germany,2024-12-21,0.0653577940541923,77.60000000000001,Medium Risk
177,35,Self-Employed,75121.07,643,5000.0,Beauty,6,19,1,1,2.25,Australia,2024-08-30,0.0665592223326957,140.8,Medium Risk
178,38,Student,8359.52,300,5000.0,Beauty,3,11,2,1,4.24,Canada,2023-05-31,0.5981204662468658,282.0,High Risk
179,56,Unemployed,12081.08,367,3044.26,Sports,9,10,1,1,7.57,Germany,2024-12-21,0.2519857496184116,233.2,High Risk
180,40,Self-Employed,67528.19,580,5000.0,Beauty,6,20,1,1,6.21,Germany,2023-03-10,0.0740431514601531,168.0,Medium Risk
181,52,Student,24012.51,387,5000.0,Fashion,9,2,0,0,4.64,Australia,2023-03-14,0.2082247961583358,189.2,High Risk
182,29,Student,15411.65,345,5000.0,Sports,12,8,1,1,2.18,Germany,2023-06-21,0.3244298955660166,238.0,High Risk
183,59,Self-Employed,58233.56,620,5000.0,Home,12,0,0,0,6.11,Germany,2024-11-16,0.0858611426126103,92.0,Medium Risk
184,53,Salaried,64391.16,636,5000.0,Home,9,3,1,0,7.04,USA,2023-03-27,0.077650410397949,111.6,Medium Risk
185,43,Student,30758.61,446,5000.0,Home,12,6,1,1,6.72,UK,2023-04-14,0.1625561103053746,193.6,High Risk
186,45,Salaried,69315.79,599,5000.0,Fashion,12,19,2,1,6.68,USA,2024-07-26,0.0721336365061986,178.4,Medium Risk
187,50,Self-Employed,32968.34,460,5000.0,Beauty,6,22,1,1,6.05,Australia,2023-03-25,0.1516606538272779,220.0,High Risk
188,46,Self-Employed,51871.45,511,5000.0,Fashion,12,15,2,1,9.95,India,2023-05-15,0.0963921386427408,205.6,High Risk
189,43,Unemployed,12581.51,338,5000.0,Beauty,6,0,0,1,7.82,UK,2024-11-10,0.3974085781436409,204.8,High Risk
190,59,Unemployed,20660.87,334,5000.0,Beauty,3,13,1,0,8.52,India,2023-02-23,0.2420033619107036,252.4,High Risk
191,54,Self-Employed,83246.54,639,5000.0,Beauty,9,31,2,0,4.53,Germany,2024-12-04,0.0600625563536935,186.4,Medium Risk
192,47,Salaried,78135.25,684,5000.0,Sports,3,15,1,0,9.77,Germany,2023-04-22,0.0639916043015156,116.4,Medium Risk
193,27,Unemployed,12630.1,413,2790.39,Electronics,9,0,0,0,3.54,UK,2024-09-24,0.2209317424248422,174.8,High Risk
194,24,Student,16410.78,397,1840.32,Beauty,9,13,1,0,1.3,Germany,2023-05-11,0.1121409220037073,227.2,High Risk
195,32,Self-Employed,84267.63,656,5000.0,Beauty,12,22,2,0,5.7,USA,2023-04-08,0.0593347647251975,161.60000000000002,Medium Risk
196,27,Student,27172.04,399,5000.0,Beauty,12,7,1,1,7.68,Germany,2023-04-22,0.1840126836262569,214.4,High Risk
197,47,Salaried,51640.72,510,5000.0,Beauty,9,20,1,0,7.78,UK,2023-02-27,0.0968228173425932,196.0,High Risk
198,51,Unemployed,14008.31,324,5000.0,Fashion,3,3,0,0,7.38,Germany,2023-02-08,0.3569309931033794,216.4,High Risk
199,53,Self-Employed,62920.91,606,5000.0,Sports,3,1,0,0,4.11,Canada,2024-07-12,0.0794648392720321,99.6,Medium Risk
200,37,Salaried,64063.4,592,5000.0,Beauty,6,9,1,0,1.14,Canada,2023-02-16,0.0780476840130246,141.2,Medium Risk
201,52,Salaried,73934.37,634,5000.0,Electronics,9,14,3,1,9.57,Australia,2023-01-10,0.0676275458896856,174.4,Medium Risk
202,27,Unemployed,12320.21,332,4483.55,Fashion,9,13,2,1,9.15,Germany,2024-09-02,0.3639183098340044,273.20000000000005,High Risk
203,33,Self-Employed,55202.02,596,5000.0,Electronics,12,4,0,0,8.05,UK,2023-05-17,0.09057639557393,109.6,Medium Risk
204,58,Unemployed,6640.68,300,1633.84,Home,12,9,3,1,9.91,USA,2023-06-24,0.2460350446038658,298.0,High Risk
205,35,Unemployed,8930.98,300,3180.96,Home,6,8,1,1,5.35,UK,2024-09-04,0.3561714391925634,256.0,Medium Risk
206,19,Unemployed,9655.65,360,2104.91,Home,12,1,0,0,1.83,Germany,2023-05-13,0.2179977526111654,198.0,High Risk
